Pavarde                       Vardas                        Galutinis (Med.)
Pavarde4086                   Vardas4086                    4.00 
Pavarde4087                   Vardas4087                    5.00 
Pavarde4088                   Vardas4088                    3.00 
Pavarde4089                   Vardas4089                    5.00 
Pavarde409                    Vardas409                     5.00 
Pavarde4090                   Vardas4090                    6.00 
Pavarde4091                   Vardas4091                    6.00 
Pavarde4092                   Vardas4092                    6.00 
Pavarde4093                   Vardas4093                    9.00 
Pavarde4094                   Vardas4094                    4.00 
Pavarde4095                   Vardas4095                    6.00 
Pavarde4096                   Vardas4096                    8.00 
Pavarde4097                   Vardas4097                    4.00 
Pavarde4098                   Vardas4098                    5.00 
Pavarde4099                   Vardas4099                    7.00 
Pavarde41                     Vardas41                      6.00 
Pavarde410                    Vardas410                     7.00 
Pavarde4100                   Vardas4100                    4.00 
Pavarde4101                   Vardas4101                    4.00 
Pavarde4102                   Vardas4102                    5.00 
Pavarde4103                   Vardas4103                    4.00 
Pavarde4104                   Vardas4104                    7.00 
Pavarde4105                   Vardas4105                    3.00 
Pavarde4106                   Vardas4106                    7.00 
Pavarde4107                   Vardas4107                    4.00 
Pavarde4108                   Vardas4108                    5.00 
Pavarde4109                   Vardas4109                    5.00 
Pavarde411                    Vardas411                     5.00 
Pavarde4110                   Vardas4110                    5.00 
Pavarde4111                   Vardas4111                    7.00 
Pavarde4112                   Vardas4112                    6.00 
Pavarde4113                   Vardas4113                    7.00 
Pavarde4114                   Vardas4114                    5.00 
Pavarde4115                   Vardas4115                    6.00 
Pavarde4116                   Vardas4116                    6.00 
Pavarde4117                   Vardas4117                    4.00 
Pavarde4118                   Vardas4118                    4.00 
Pavarde4119                   Vardas4119                    4.00 
Pavarde412                    Vardas412                     5.00 
Pavarde4120                   Vardas4120                    3.00 
Pavarde4121                   Vardas4121                    4.00 
